Date,Open,High,Low,Close,Adj Close,Volume
27/3/2015,24541.43945,24549.88086,24420.4707,24486.19922,24486.19922,1610426400
30/3/2015,24727.46094,24949.34961,24725.51953,24855.11914,24855.11914,2574119600
31/3/2015,25113.19922,25113.19922,24876.36914,24900.89063,24900.89063,2557002200
1/4/2015,24955.19922,25099.06055,24926.10938,25082.75,25082.75,1713463600
2/4/2015,25214.33008,25297.80078,25152.57031,25275.64063,25275.64063,2106782000
8/4/2015,25708.24023,26247.63086,25640.03906,26236.85938,26236.85938,4101527400
9/4/2015,26913.2793,27922.66992,26732.23047,26944.39063,26944.39063,5024522600
10/4/2015,27373.67969,27373.67969,26812.75,27272.39063,27272.39063,3341162700
13/4/2015,27374.33008,28031.96094,27304.11914,28016.33984,28016.33984,4727115800
14/4/2015,27688.25977,27915.00977,27483.44922,27561.49023,27561.49023,3774122300
15/4/2015,27693.25,27807.98047,27442.51953,27618.82031,27618.82031,3926508000
16/4/2015,27557.28906,27787.98047,27470.09961,27739.71094,27739.71094,3269721300
17/4/2015,27808.24023,27969.41016,27597.67969,27653.11914,27653.11914,3105824800
20/4/2015,27770.78906,27770.78906,26959.76953,27094.92969,27094.92969,3375883900
21/4/2015,27404.15039,27925.35938,27404.15039,27850.49023,27850.49023,2737826700
22/4/2015,27821.32031,28048.46094,27727.85938,27933.84961,27933.84961,2367949700
23/4/2015,28112.38086,28213.63086,27804.0293,27827.69922,27827.69922,2442203700
24/4/2015,27978.39063,28089.36914,27591.57031,28060.98047,28060.98047,2414041400
27/4/2015,28245.14063,28588.51953,28245.14063,28433.58984,28433.58984,2790074700
28/4/2015,28448.2207,28548.44922,28251.99023,28442.75,28442.75,3045477300
29/4/2015,28453.09961,28453.09961,28201.75977,28400.33984,28400.33984,2094900900
30/4/2015,28289.14063,28317.86914,27997.90039,28133,28133,2561272000
4/5/2015,28231.25977,28343.74023,28017.19922,28123.82031,28123.82031,1999728900
5/5/2015,28295.7207,28316.63086,27598.16992,27755.53906,27755.53906,2292680300
6/5/2015,27698.09961,28054.67969,27570.41016,27640.91016,27640.91016,2265508000
7/5/2015,27567.61914,27604.49023,27207.2793,27289.9707,27289.9707,1894753100
